(1)pl	(chicken)_gizzard	1sg	all	also	and	bat	be_afraid	beggar	bottle	breasts	bully	cheeky	chopsticks	cold_water	cricket	dirty	door_jam	dragonfly	eat_(breakfast)	egg	female_dog	flash_lightning	fly	frog	general_mw	go_out_of_business	growing_grain	horse_cntr	how_(to_do_)	hungry	instance_cntr	keep_a_fire_(for_warmth)	knife_mw	lay_(egg)	leftover_(rice)	loc.	look	male_dog	moon	nose	not_viscous	owe	pass.	play	pomelo	rainbow	relax_in_a_cool_place	salt	search_for	serve_up_rice	shoulder	shout	shrimp	sleep	son	soup_spoon	soybean	sparrow	spider	steamed_rice	stroll	sturdy	that	thief	this	throw	to_rain	toad	tomorrow	tongue	tree_cntr	umbrella	well-behaved	who	wing	yesterday
DC	LF	kʰinLF	ŋɔiHB	hamLF.plaŋLF	jɛkLF	həuŋLT	fiHB.ɕiHT / peiŋHT.fəukHT	nutLF	hatHT.ŋiHT	tunHR	neiŋHR	hiHB.fuLF	tiɛuHB.lɛuHR / pakHB.jɛmHB	faiHB.tuHT / faiHR		ɬeikHT.ɬutHT	laiLT.saiLT	iLF.fəukLF	vɔŋLT.miHR	hiɛkHB	anHR	kauHT.naHT	ɕiɛmHT.eiŋLF	vɔLT.jeiŋHR	kapHT.kaiHT / kʰamLT.ɕiLT / heiŋLT.kaiHR	kɔiHB		vɔLT		kiHT.ɔHR	uHT.kiHB				ɕaŋHB		ɔHB	haiHT	kauHT.kəuŋLF	ŋutLF.kɔŋHB	piLF	hiHB / hiHB.pʰiɛŋHT.pʰiɛŋHT		iHT	liuLT / liɛuLT / lauHB	puHT.ləukHT	heiŋHB.həuŋLT / ɕuiHT.kʰəuŋHB		ɕiɛŋLF.miHR	pɔiHT	tɕɔŋHB / jɛuHT	kanHB.hauLT		haHR	funHB	tɔiHT	ɕiLT.kaŋHR	vɔŋLT.auHR	maLT.tiɛkHT / vɔLT.tiɛkHT	kʰamLT.lɔHR / kʰaLT.lɔHR / tɕiHB.tɕiHB	fanLF		kʰimHB	neiŋLF	tʰakLF	kʰɔiLF		lɔkLF.ɕuiHT	kapHT.kwaiHT	heiŋLF.tɔHT	liHR		tɕiæHR	hiɛŋHB.kauHB	aHB.suiHR	jeikLF / jeikLF.fuHB	tɔŋLF.ŋitHR
DG	tɐiLF	kʰɐnLR	ŋɔLR	hɐmLF.pɛŋLF.ŋɛŋLF	zaLR	tʰuŋLF	fɐiLRF.syHR	kʰɔŋLF	hɐkHB.səkLT.ŋouHR	tsəŋHT	ninHT	haLRF	zɔiLF / pɛLTR.zinLF	faiLF.tsɐiHR	tuŋLF.suiHR	tsɐiHR.tsukHB	ŋaiLF.sɔkHB	tɐiLF.pʰukLT	nɔŋLF.nɐiHR	səkLT	tsʰɐnLRF	kauHR.naHR	sinHR.tinLF	kuLRF.zəŋHT	kɔkHB	kɔLF	tsɔkHB.ŋɔkHB	vɔLF	tsøkLT	tinHR.zɔŋLF	siHR.tɔuHR.ŋɔLF	tsʰɐiLF	puiLF	tsøŋLRF	sɛŋLRF	ŋɛŋLR	hɐiHR / høŋHR / tsʰuiHR	tʰɔiHR	kauHR.kuŋLRF	zøtLT.kuɔŋLRF	pɐiLF.kɔHT	tsʰɛŋLRF	tsɛŋLRF	pɐiHR	ŋiuLT	vɔLF.ŋukHB	kʰuŋLRF	tʰauHR	jinLF	vɐnHR	ziuHR	kɛŋLRF.tʰauLF	haŋLF	haLRF.kuŋHT	fɐnLF	tsɔiHR	tsʰiLF.kɛŋHT	pɛkLT.tauHR	maLF.tsʰøHT	kʰɐmLF.lɔuHR	fɛŋLF	tɔŋLF	sɐkLT.tsɛŋLF / sɐkLT.tɐkHB	kɔHR	tsʰakLT.tsɔiHR	neiHT	vɐŋLRF	ŋɔkLT.jiLR	kʰɐmLF.syHR	tʰəŋHT.zɐkLT	ŋɐiHR	tauLRF	tsøHT	nøŋLF.haiLF	syHR.kɔLF / mɐkHB.suiLF	zəkLT	tsʰɔLF.zɐkLT
DMSH	teiLF	kʰɐnLR	ŋɔLR	hamLF.paLF.laŋLF	jiikLF	tʰuŋHF	feiHR.siLR	kiaŋHR	hɐtHT.jiHR	tsunHR	linHR / ɐmHR	heiHR.fuLF	pakHB.jimHB / kʰuaiHB	faiHB.tsiLR	tuŋHB.suiHR	sikHT.sɐtHT	laHF.tsaHR	munHF.kʰɐmLR	tʰɔŋHF.meiHR	hiakLF	tsʰinHR / tsʰunHR	kɐuLR.laLR	tʰinHR.sipLF	tsʰɐuHB.jiiŋHR / vuHB.jiiŋHR	tʰinHF.kɐiHR	kɔHB	tsɐpHT.lɐpHT	vɔHF	tsikHB	timLR	tʰouLR.ŋɔLF	vɐnLR	puiLF	tsɔŋHB	saŋHT	laŋLR	hɔŋLR / kɐnLF	tʰaiLR	kɐuLR.kuŋHR	jitLF.kɔŋHR	peiLF.kɔHR	heiHB	himHB	peiLR	vanHR	pɔHR.lukHT	luŋHF.kʰuŋHR	tʰauLR	sɔŋLF.meiLF	vanLR	tsɔŋHR	pɔkHB.tʰɐuHF	kiuHB	haHR	keHR	tsɐiLR	siHF.kaŋHR	pakLF.tɐuHR	vɔHF.faHR.tsɔkHB	kʰɐmHF.leHR	fanLF	tɔŋLF	sɐtLF.tsiaŋLF	kɔLR	samHR.tsikHB.souHR	leiHR	tiaŋHB / teuLF	lɔkLF.jyLR	kʰɐmHF.kʰiHF	tʰinHR.tsiuHR.jɐtLF	leiLF	tɐuHR.pʰɔHR / tɐuHR	tseHR	kuaiHR	pinHR.kɔHB / mɐtHT.suiHR	jiikLF	kʰɐmHF.mɐtLF / tsʰɐmHF.mɐtLF
DMZ	kLF	kʰɐnLF	ᵑguɔHB	hamLF.paLF.laŋLF	jiikLF	huŋLT	feiHB.siHT	kiaŋHB	hɐtHT.ᵑgiHT	tsɐnLF	ⁿdinHT	heiHB.fuLF	pakHT.jimHB	faiHB.tsiHT	tuŋHB.suiHT	sikHT.sɐtHT	laLT.tsaHT	ᵐbunLF.kʰɐmLF	ⁿdɔŋLT.ⁿdeiHR	hiakHB	tanLF	kɐuHT.ⁿdaHT	simHT.tinLF	fuiHB.jiiŋHR	hinLT.kɐiHB	kuɔHB	tsɐpHT.lɐpHT	vuɔLT	pʰɐtHT / pʰɐtHT.kuɔHB	timHR	touHT.ᵑgɔLF	vaŋLT / hɔŋHB	puiLF	tsiɔŋHB	saŋHB	laŋLF	kanHT	hɐiHT	kɐuHT.kuŋHB	ᵑgitLF.kuŋHB	peiLF.kuɔHT	heiHB	tsaŋHB	peiHT	lauLF	puHT.lukHT	luŋLT.kʰuŋHT	sɐuHT	siɔŋLF.ᵐbeiLF	vanHT	juHT	kɐnHB.hɐuLT	hamHB	haHR	fɐnHB	tsɐiHT	tʰiLT.kaŋHT	pakLF.tɐuHR	vuɔLT.tsiakLF	kʰɐmLT.louHR	fanLF	lauLF	sɐtLF.tsiaŋLF	ⁿdiŋLT	siuHT.ᵐbuɔHT	kʰuɔLF	tiaŋHB / viŋHB	lɔkLF.suiHT	kʰɐmLT.siLT	hiŋHB.tsouHT.tsiuHB	leiLF	tɐuHB	tseaHB	kuaiHB	aHB.suiLT	jiikLF	tsuHB.ᵐbanLF
DQ	ti	sɐnHR	ŋoLR			tuŋHR2	fiHF.syHR / fukHT.syHR	pʰaHF / kiŋHT	hɐtHT.niHT	piŋHR2 / tsɐnHT	naiLR		tʰiuHF.piHR2	faiHF.tsiHR	tuŋHF.soiHR	tsʰukHT.tsɐk5	latLT.tʰatHB	monHB.tiLF.fukLT	tɔHB..liHT	hɐkHT	tsʰɐnHT	kɐuHR.hɔLF / kɐuHR.naHR	simHR.tinLF	hiŋHB.tsiHR	tinHB.kɐiHT	koHF	tsɐpHB.lɐpHT	wuoHR2	pʰɐtHT		tuLR.kiHT	tsʰiHF	poiLF	tseHT	sɐŋHT	lɐŋLR	tsoiLR	tʰɐiHR	kɐuHR.kuŋHT / kɐuHR.kuHR	niotLT.leLT.kɔŋHT	piLF.koHT	hiHT	tsɐŋHT	piHR	tɔLF	taiLF.ɐuHT	luŋHR2	lɔLF	jimLF	wɐnLR	juHR	pukHB.tɐuHR2	kiuHF	haHT	hɐnHF	tsɐiHR	tiuHB.kɐŋHT	wɔHB.tɐuLF	wuoHB.faHT.tsʰikHB	kɐmHB.louHR2	fanLF	tɔLF	kiŋHT.sɐtLT	aLF	siuHR.tʰɐuHT	koHF	pʰikLT	lɔkLT.yLR	kɐmHB.kyHR2	miŋHB.tsiuHT	liLF	pʰoHT	tseHT	kuaiHT	pinHT.koHF	jiikHB / hikHB	kɐmHB.mɐtLT / tsɐmHB.mɐtLT
EP	hamHB.tsʰaiLT	kʰianLF	ᵑguaLF	hamLF.paLF.laŋLF	ziakLF	huŋLT	fuiHB.siHT	ⁿdutLF	hiatHT.ᵐbaiHT.tsaiHT	tsunHR	ⁿdienHR	hiHB.fuLF	kʰaiLT.kuiHT	fuaiHB.tsʮHT	tuŋHB.suiHT	tsikHT.tsutHT	latLF.hatHB	ᵐbuɔnLT.taŋHT	vuaLT.liHR	hiakHB	tanHR	keiHT.ⁿdaHT	hianHB.siepHB	vuaLT.ziiŋHR	hienLT.kaiHB	kuaHB	siuHB.suiHT	vuaLT	kuaHB	kianHR.naHB	tuHT.ᵑguaLF	vaŋLT / sʮHB	hamLT	tsiɔŋHB	leiLF	laŋHB	touHB	haiHT	keiHT.kuŋLF	pʰuaLT.suaHR	piLF.kuaHT	hiHB	tsʰaŋHB	piHT	louLF	puHT.lukHT	vɔkLF.ᵑgiHT.luŋHR	heiHT / liɔŋLT.haLF	siɔŋLF.ᵐbiHR	vunHT	ziuHT / tsɔŋHB	kanHB.heiLT	hamHB / tseiLF	haHR	funHB	tsaiHT	siLT.kaŋHR	vɔŋLT.teiHR	vuaLT.tsiɔkHT	kʰaLT.louHR	fanLF	tuŋLF	kietHT.siatLF.	ⁿdiŋLF	siuHT.ᵐbuɔHT.tsaiHT	kʰuaLF	pʰiakHB / souLF	lɔkLF.suiHT	kʰiamLT.siLT	hinHB.tsouHT	liHR	teiHB	tsiaHR	hiŋHB.kouHB	kuaHT.suiHR	zetLF	tsiLF.ᵑgiatLF
FG	tiHB	kʰɐnLFR	ŋɔHR			tʰuŋLT	fɐiHB.syHR	kəŋHB	hɐtHT.jiHB	tsɐnHB	ninHB		tʰiuHB.pʰɐiLT / pakHB.jimHB	faiHB.tsyHR	tuŋHB.søyHR	tsɐtHT.tsɐiHR	latLT.tʰatHB / wuHB.tsauHB	tɐiLF.pukHT	nɔŋLT.nɐiLT	səkLT	tanHR	kɐuHR.naHR	simHR.tinLF	wuHB.jəŋLT	kapHT.naHR	kɔHB	tsɐpHT.lɐpHT	wɔLT.tsɐiHR	tsəkHB		tuHR.ŋɔLF	tsʰyHB	tsəkHB	tsøŋHB	lɐuLF	səŋLF	hɐiHR	tʰɐiHR	kɐuHR.kuHR	ytLT.naHR	pɐiLF.kɔHB	hiHB	tsaŋHB	pɐiHR	liuLF	pɐiHB.lukLT	huŋLT / luŋLT	tʰɐuHR	jimLT	wɐnHR	tsɔŋHB	pɔkHB.tʰɐuLT	hamHB	haHB	fɐnHB	tsɐiHR	tsʰiLF.kəŋHB	wɔŋLT.tɐuHR	maHR.tsøkHB	kʰaHB.lauHR	fanLF	tɔŋLF	sɐtLT.tsəkHB	kɔHR	tsʰəkLT.tsɐiHR	niHB	tøyHR	lɔkLT.søyHR	kʰɐmLT.kʰyLT	tʰəŋHB.jɐtLT	lɐiLF	pʰɔHB	tseHB	kuaiHB	pinHB.kɔHB	jəkLT	tsɔkLT.jɐtLT
FK	nitLT.ȵɐnLF	tsɐnLFR	nuŋHT			tuŋLR	fɐiHB.syHF / fukHT.syHF	pʰaHFB	hɐtHT.tʰiɐkHT	jiŋHT	ninHT		tʰeuHFB.pɐiLR	kʰuaiHB.tsuəHF	tuŋHB.sœHF	sapHB.tsɐkHT	wəHB.tsɔHT	mɐnLT.kauHT	kʰœŋHB.kʰenHT	hiɐkHB	tsʰɐnHT	kouHB.puəLR	japLT.liŋLF	jɐŋHR	kɐpHT	kuəHFB	tsɐpHB.lɐpHT	wəLR	tɐuLT		tɔLT.kiHT	tsʰiHFB	hiuŋHB	tiuŋHT	wəHF	tsɐŋLF	tsɔiLFR	hɔnHFB	kouHB.kuHF	nytLT.liuŋLF	peiLF.kœHT	tsʰiŋHT	himHFB	peiHF	saHF / lɐnHF	taiLF.kamHT	ɔnLT.luŋLR	lœŋLT	jimLR	wɐnLT	juLFR	pœkHB.tɐuLR	euHT	haHT	finHB	tsɐiHF	tsiLT.kiŋHT	wuŋLR.touLF	tsiɐkHB.kukHB.lɔHR	tsiHF.tsyHT	panLF	saHF / lɐnHF	kitHB.tsɐtLT	puHB	tsɐkLT.tsɐiHF	kɐtHT	tiuHT	lœkLT.yLFR	kamLT.kyLR	tuŋLT.ȵɐtHR	tsitLT / tsitLT.leiLF / tsitLT.tɐuLR	pʰuəHT	tsiəHT	kuaiHT	kuHB.ȵɐnLF	tsʰiHFB	tsinLT.ȵɐtHR
FS	teiLT	sɐnLR	ŋɔLR	hɐmLT.paŋLT.laŋLT	touHF	tʰuŋHF	feiHF.syHR / fukHT.syHR	kɛŋHF / tsɐtLT	hɐtHT.jiHT	tsœnHT	ninHT	haHF	jɐiLR / pakHB.jimHB / tʰiuHB.pʰeiHF	faiHB.tsiHR	tuŋHB.sœyHR	tsikHT.tsœtHT	latLT.tʰatHB / wuHT.tsouHT	munHF.kʰamHR	tʰɔŋHF.meiHT	sikLT	tsʰœnHF / tanHR	kɐuHR.naHR	sipHB.lɛŋLT	wuHT.jiiŋHF	tsʰiŋHT.waHT / tʰinHF.kɐiHF	kɔHB	tsɐpHT.lɐpHT	wɔHF	tsɛkHB	timHR	tʰouLR.ŋɔLT	wɐnHF / tsʰiHB	puiLT	tsœŋHT	saŋHT	laŋLR	hɐiHR / hœŋHR	tʰɐiHR	kɐuHR.kuŋHF	jytLT.kuɔŋHF	peiLT.kɔHT	heiHF	tsaŋHF	peiHR	lɛuLR	lukHT.jɐuHR	wɔkLT.jiLR.luŋHR	tʰauHR	jimHF	wɐnHR	tsɔŋHF	pɔkHB.tʰɐuHF	ɛuHF	haHT	fɐnHB	tsɐiHR	tsʰiHF.kɐŋHT	pakLT.tɐuHR	wɔHF.tsœkHR	tsiHT.tsyHT	fanLT	tɔŋLT / kuaŋLT	sɐtLT.tsɛŋHR	kɔHR	syHR.mɔHF	tiHT	tɛŋHB / pʰɛkLT	lɔkLT.jyLR	kʰɐmHF.kʰœyHF	tʰiŋHT.jɐtLT	leiLT	pʰɔHT	tsɛHT	kuaiHF	pɛnHT.kɔiHB	jiikLT	kʰɐmHF.jɐtLT / tsʰɐmHF.jɐtLT
FS_p	ləiLR	ɬɐnLF	ŋaLF	hɐmLF.paLF.lɐŋLF	jɛLB	tʃʰɐuHT	fəiHT.ʃaɤHB	pʰaHR	kauHR.waHR.tʃəiHB	tʃənHT	pɛHT	hap7	manLF.pəiLF	kʰuaiHR.tʃaɤLR	jənHF.ʃuiHB	tʰɔHB.kɐuHB	ɔHT.ɬɔiHT	munLF.hɐmHB	taŋLF.luiHT	hikHB	tanLR	mɐuLB.kɐuHB	ʃimHB.tinLR	mɐnHT.iŋHT	kapHB	kɤHR	tauHB.pɐiHR	kɔkHB	pʰɐtHB	nɐŋHR.kəHR	kəiHT	pɐiLF	puŋLT	paHB	ɛHT	kəuLR	tʃaɤLR	hanHR	kɔŋHF.kɐuHB	wuitLT.liəŋLR	pəiLR.tʃəiHB	həiHT	ʃiuHB	ŋaiLF	lɛuLF	pɔkLT.tʃəiHB	kaŋHR.kaŋHT.tɔŋLF	ʃiŋLF	himLF	laj1	tʃaŋHT	pukHB.tɐuLF	ɛuHT	haHT.kɔŋHT	ʃuiLR	jəiLF	tʰaŋHT.kɐŋHT	huŋLF.tɐuLR	maLF.tʃʰiəkHB	tʃou3.tʃaHT	fanLR	kuŋLR	kʰɐmHT	ȵiLT	tʃʰapHB.ʃəuHB	kɯHT	tiuHT	lakLT.haɤLB	ʃɐmLF.ʃəuLF	miŋLF.jɐtLT	ləiLR.tʃinLF	tɐuHT	ɬanHR	kwaaj1	naHR.kɤHR.jɐnLF	jikLT	tʃiLR.jɐtLT
GG	tɔiLF	ʃanLR	nuŋHB	tʰuŋHB.tʰuŋHB	jɛLR	tʰuŋLT	fɐiHB.ʃyHR	pʰɔHF	hatHB.ȵiHB	tʃynHB	nɛHR	hap7	ŋinHB	kʰuɔHF.tʃɐiHR	janHB.ʃuiHR	tʰɐuHR.kauHR	tʃʰɐmLT.tʃʰuiHF	munLT.hɔmHR	tʃʰiŋHB.tʰiŋLT	hikHB	tɔnLF	kauHR.nɔHR	jɔpLR.liŋLT	manHT.iŋHB	kɔpHB.nɔHR	tʃikHB	kʰapHB.tauHR	kukHB	tʃikHB	ləŋHF.jəŋLF	kɐiHB	tʰøŋHR	kʰɔmLT	tʃiəŋHB	ʃiaŋHB	tʃauLF	tʃʰɔiLR	tʰɐiHR	kauHR.kuŋHB	ȵytLR.kuøŋHB	pʰɐtLR.ʃiLT	hɐiHB	tʃiaŋHB	tʃiəkHB	ɬaŋLT.kʰikLR	pukHB.ŋauHF	køŋHB	ʃiŋLT	jinLT	wun1	tʃøŋHB	pøkHB.tʰauLT	hɔmHF	hɔHB.kuŋHB	ʃuiLF	nuŋLR	tʰøŋHB.kiaŋHB	wøŋLT.tauLF	mɔLT.tʃʰiəkHB	kʰamLT.loLT	fɔnLF	ɬɐŋLR	kitHB.ʃatLR	aHB	piakLR.nɛmHB	kɔHB	tʃɔiHB	løkLR.høyLR	kʰɐmLT.ʃyLT	miŋLT.ȵatLR	lɐiLF	kuHB	tʃɛHB	kwaaj1	matHB.ȵanLT	hikLR	tʃʰuŋLT.matLR
GM	teiLF		ŋoHB	tsʰynLF.puLF	touHRT	tʰuŋHR	fukHB.syHB	fɔŋHRT	hɐtHT.jiHT	tsønHRT	ninHRT	haHRT	ŋanLF.pʰeiLF	waiHB.tsyHR	tuŋHB.suiHR	səkHT.søtHT	wuHT.tsouHRT	munHR.homHB	tʰuuŋLF.meiHT	jakHB	tsʰønHRT	kɐuHR.naHR	jɛpHT.liɛŋLF	wuHT.jəŋHT	kɐpHT.naHR	kɔHB	lapHT.tsiɛHRT / kʰɐmHR.tauHR	kukHT	pʰɐtHT	timHR	tʰuHB.ŋɔLF	tʰɔŋHB	puiLT	tsøŋHRT	saŋHT	laŋHB	hɐiHR / høŋHR	tʰɐiHR	kɐuHR.kuŋHRT	jytLT.kuɔŋHRT	peiLF	hiHRT	himHB	peiHR	saHR	kuHT.lukHT	luŋHR	tsʰœyHRT	jimLF	wɐnHR	tsɔŋHRT	pɔkHB.tʰouLF	ɛuHRT	haHRT	wɐnHB	tsaiHR	tsʰiLF.kɐŋHRT	pakLT.tɐuLF	pouLF.latHT.tsɐiHR	kʰomLF.louLF	fanLF	kuaŋHB	sɐtLT.tsiɛŋLF	kɔHB	syHR.mɔHT.tsaiHRT	leiHR	tiuHRT	lɔkLT.hyHB	kʰamHB.syHB	tʰinHT.jɐtHB	leiLF	pʰɔHT	tsiɛHRT	kuaiHRT	pinHT.kɔHB	jəkLT	kʰɐmLF.mɐtLT
GN	neLRF	sɐnLRF	ŋɵLRF			tuŋLF	feiHF.syHT	kiɐŋHF	hɐtHT.jiHF	tsɐnHF	nenHRT		tʰiuLF.pɐiLF	tyLRF	tuŋHB.suiHT	tsʰoHT.tsɐtHT	latLT.tʰatLRF / wuHT.tsoHF	tiLRF.keuHF	tʰuŋLF.neiHF	hiɐkHT	tsʰɐnHF	kauHT.naHT	sinHT.tenLRF	vuHF.jɐŋLF	kapHT	kɵHB	tsɐpHT.eHF.latHT	wɔLF	pʰɐtHT		tɐuLRF.keiHF	tsʰiHB	kʰɵŋHB	tsyɵŋHF	ɵHF	laŋLRF	tuLRF	tʰaiHT	kauHT.kuHT	jytLT.kuɔŋHF	piLRF.kɵHF	wenHB	hinHB	pɐiHT	saHT	pɐtHB.lukHT	luŋLF	tʰauHT	hinLF	wɐnHB	tsɵŋHB	pɵkHB.tauLRF	kiuHB	haHF	fɐnHB	tsaiHT	siLF.kaŋHF	pakLRF.tauLRF	wɔLF.kukHT.tsaiHT	kɐmLF.loLF	fanLRF	haŋLF	sɐtLT.tsiɐŋLRF	kɵHB	tsʰɐtLT.tsaiHT	kɵHB	pʰiɐkHB	lukLT.hyLRF.laLF	kamLF.syLF	tuŋHT.tiuHF.ŋiɐtLT	liLRF / sitLT	teuLF	tsieɐHF	tsiɐŋHF	pinHF.kɵHB	tsʰiHB	tsiHF.ŋiɐtLT
GP	tiLT	ʃɐnLR	ŋɔLR	hɐmLF.paLF.lɐŋLF	jaLR	tʰuŋLF	ʃɐuHT.ʃɔHR	kiŋHT	hɐtHT.ȵiHT	aŋHT	mɛLF.	hap7	ŋuanLT.pʰiLF	faiHB.tʃiHR	tuŋHB.ʃuiHR	tʰuHR.kɐuHR	latLT.tʰatHB	munLF.hɐmHR	tʃʰiŋHT.tʰiŋLF	ʃikLT	tanLT	kɐuHR.naHR	jɐpLT.liŋLT	mɐnHT.jiŋLT	kɐp5.naHR	kɔHB	kʰɐpHT.tɐuHR	kukHT	pʰɐtHT	timHR.jøŋLT	ŋɔLT	tʰɔŋHB	hɔŋHB	paHR	ʃaŋHT	tʃiŋLT	hɐiHR	tʰɐiHR	kɐuHR.kuŋHT	ȵytLT.kɔŋHT	piLT.kɔHT	hiHT	tʃaŋHT	ŋaiLF	lɛuLF	pɔHT.lukHT	kɔŋHB	ʃiŋLF	jimLF	wun1	tʃɔŋHT	pɔkHB.tʰɐuLF	naHT	haHT.kuŋHT	ʃuiLT	tʃɐiHR	tʰɔŋHT.kaŋHT	wɔŋLF.tɐuLT	maLF.tʃøkHB	kʰɐnLF.lɔLF	fanLT	lɛuLF	kʰɐmHT	luHB	tʃʰɐkLT	aHB	tiuHB	lɔkLT.ʃuiHR	kʰɐmLF.kʰyLF	miŋLF.ȵɐtLT	liLT.tʃʰinLF	pʰɔHT	tʃɛHT	kwaaj1	pinHT.kɔHB	jikLT	tʃɔkLT.ȵɐtLT
GZ	teiLT	sɐnLR	ŋɔLR	hɐmLT.paŋLT.laŋLT	touHF	tʰuŋLF	feiHT.syHR / fukHT.syHR	kɛŋHF / tsɐtLT	hɐtHT.jiHT	tsœnHT	ninHT	haHF	jɐiLR / pakHB.jimHB / tʰiuHB.pʰeiLF	faiHB.tsiHR	tuŋHB.sœyHR	tsikHT.tsœtHR	latLT.tʰatHB / wuHT.tsouHT	munLF.tsʰamLR	tʰɔŋLF.meiHT	sikLT	tsʰœnHT / tanHR	kɐuHR.naHR	simHR.tinLT	wuHT.jiiŋHT	tsʰiŋHT.waHT / tʰinLF.kɐiHT	kɔHB	tsɐpHT.lɐpHT	wɔLF	tsɛkHB	timHR	tʰouLR.ŋɔLT	wɐnLF / tsʰiHB	puiLT	tsœŋHT	saŋHF	laŋLR	hɐiHR / hœŋHR	tʰɐiHR	kɐuHR.kuŋHT	jytLT.kuɔŋHT	peiLT.kɔHT	heiHF	tsaŋHF	peiHR	liuLT / wanHR	lukHT.jɐuHR	huŋLF	tʰauHR	jimLF	wɐnHR	tsɔŋHF	pɔkHB.tʰɐuLF	aiHB / kiuHB	haHF	fɐnHB	tsɐiHR	tsʰiLF.kɐŋHT	pakLT.tɐuHR	maLF.tsœkHR / wɔLF.faHF.tsœkHR	tsiHT.tsyHT / kʰɐmLF.louLF	fanLT	tɔŋLT / kuaŋLT	sɐtLT.tsɛŋHR	kɔHR	tsʰakLT.tsɐiHR	niHT	tɛŋHB / pʰɛkLT	lɔkLT.jyLR	kʰɐmLF.kʰœyHR	tʰiŋHT.jɐtLT	leiLT	pʰɔHT	tsɛHT	kuaiHF	pinHT.kɔHB	jiikLT	kʰɐmLF.jɐtLT / tsʰɐmLF.jɐtLT
HJ	tɐiLRF / tɔiLRF	kɐnLR	ŋɔLR			tʰuŋLFR / kapHB	fɐiHF.θyHF	pʰaHB	hɐtHT.tʰɛtHB.tsaiHF / hɐtHT.tʰɛtHB.lɔuHF	tsɐnHF / ɛŋHF	ninHF		tʰiuHB.pʰɐiLR / pɛkHB.jinLFR	tœyLRF	tuŋHB.θuiHF	tsitHT.tsɐtHT	latLRF.tʰatHB / wuHF.tsɔuHF	munLFR.kimLRF	lɔŋLFR.laiHF	hɛtHB	tsʰɐnHF	kauHF.naHF	tsᴇHF.lɐpLRF.lɛŋLRF	tsʰɔŋHF.jɐŋLFR	kɐpHT.naHF	kɔHB	tsɐpHT.lɐpLRF	wɔLFR	tauHF		tɔuLR.kiHF	tsʰɐiHB / tʰɔŋHB / wɐnLFR	hɔŋHB	tsiHF / paHF	ɔHF	lɛŋLR	tɔuLRF	tʰaiHF / hɔnHB / mɔŋLRF	kauHF.kuŋHF	jytLRF.lœŋLRF	pɐiLRF.kɔHF / pɐiLRF.lɐŋHB.nɐŋHB.	wɛnHF	tsɛŋHF	pɐiHF	θaHF	kuɔHF.jauHB	huŋLFR	lœŋLFR	jinLFR	wɐnHF	juHF / tsɔiHB	pɔkHB.tauLFR	kiuHF / wuiHF	haHF.kuŋHF	fɐnHB	tsaiHF	tsiLFR.kɛŋHF	wɔŋLFR.tauLRF	maLFR.lɐtHT.tsɐiHF	kʰɐmLFR.lɔuHF	fanLRF	tɔŋLRF	kitHT.θɐtLRF	pɐiHF	tsʰakLRF.tsaiHF	kɔHF	fɛŋHB	lɔkHB.jyLR	kʰɐmHF.tsyLFR	tʰuŋHF.tiuHF.jɐtLRF	lɐiLRF / tsitLRF	tauHF	tsɛHF	kuaiHF / tʰɛŋHF.waLRF	jɐuHF.naHF	tsʰiHB	hɐiHF.jaLRF.jɐtLRF
HK	teiLT	sɐnLR	ŋɔLR	tʃʰynLF.pouLT / hɐmLT.paŋLT.laŋLT	touHT	tʰuŋLF / tʰuŋLF.maiLF	pʰinHT.fukHT / fukHT.syHR	kɛŋHT	hɐtHT.jiHT	tsœnHT	ninHT	haHT	tʰiuHB.pʰeiLF / pakHB.jimHB	faiHB.tsiHR	tuŋHB.sœyHR	tsikHT.tsøtHT / sikHT.søtHT	latLT.tʰatHB / laLR.tʃaHR / wuHT.tʃouHT	munLF.tsʰanLR	tʰɔŋLF.meiHT / tsʰiŋHT.tʰiŋLF	sikLT	tanHR	kɐuHR.naHR	simHR.tinLT	wuHT.jiiŋHT	tʰinLF.kɐiHT / tsʰiŋHT.waHT	kɔHB	tsɐpHT.lɐpHT	wɔLF	tʃɛkHB / pʰɐtHT	timHR.jœŋHR / timHR.jœŋHR	tʰouLR.ŋɔLT	wɐnLF / tʃiHB	puiLT	tsœŋHT / paHR	saŋHT	laŋLR	hɐiHR / hœŋHR	tʰɐiHR	kɐuHR.kuŋHT	jytLT.kuɔŋHT	peiLT.kɔHT / peiLT	heiHT	tsaŋHT	peiHR	wanHR	lukHT.jɐuHR	tʰinHT.huŋLF / tsʰɔiHR.huŋLF	tʰauHR	jimLF	wɐnHR	tsɔŋHT	pɔkHB.tʰɐuLF	ŋaiHB / kiuHB	haHT	fɐnHB	tsɐiHR	tsʰiLF.kɐŋHT	wɔŋLF.tɐuHR	maLF.tsœkHR	kʰɐmLF.louLF / tsiHT.tsyHT	fanLT	kʰuaŋLT	ʃɐtLT.tʃɛŋLT	kɔHR	tsʰakLT.tsɐiHR	niHT	tɛŋHB / pʰɛkLT	lɔkLT.jyLR	kʰɐmLF.kʰœyHR	tʰiŋHT.jɐtLT	leiLT	pʰɔHT	tsɛHT	kuaiHT	pinHT.kɔHB	jiikLT	kʰɐmLF.jɐtLT / tsʰɐmLF.jɐtLT
